id,autores,autor_1,autor_2,autor_3,autor_4,autor_5,autor_6,autor_7,autor_8,autor_9,autor_10,autor_11,autor_12,autor_13
227,Torrico E.,Torrico E.,,,,,,,,,,,,
228,Blanco C.,Blanco C.,,,,,,,,,,,,
229,Salamanca L.,Salamanca L.,,,,,,,,,,,,
230,Mendoza H.,Mendoza H.,,,,,,,,,,,,
231,Maldonado C.,Maldonado C.,,,,,,,,,,,,
232,Landaeta G.,Landaeta G.,,,,,,,,,,,,
233,Zabaleta R.,Zabaleta R.,,,,,,,,,,,,
234,"Benavides M.,Serrano M.",Benavides M.,Serrano M.,,,,,,,,,,,
235,"Mollericona J.,Copa J.,Cadena M.",Mollericona J.,Copa J.,Cadena M.,,,,,,,,,,
236,"Llanque R.,Villca E.",Llanque R.,Villca E.,,,,,,,,,,,
237,"Cielo C.,Vasquez F.",Cielo C.,Vasquez F.,,,,,,,,,,,
238,Antequera N.,Antequera N.,,,,,,,,,,,,
239,Nuñez-Villalba J.,Nuñez-Villalba J.,,,,,,,,,,,,
240,Jorgensen K.,Jorgensen K.,,,,,,,,,,,,
241,Dolph C.,Dolph C.,,,,,,,,,,,,
242,Achi A.,Achi A.,,,,,,,,,,,,
243,Perales V.,Perales V.,,,,,,,,,,,,
244,Zalles A.,Zalles A.,,,,,,,,,,,,
245,Galindo F.,Galindo F.,,,,,,,,,,,,
246,Scarborough I.,Scarborough I.,,,,,,,,,,,,
247,Galindo F.,Galindo F.,,,,,,,,,,,,
248,Accion Andina-Bolivia,Accion Andina-Bolivia,,,,,,,,,,,,
249,Arbona J.,Arbona J.,,,,,,,,,,,,
250,Vasquez F.,Vasquez F.,,,,,,,,,,,,
251,Aranda V.,Aranda V.,,,,,,,,,,,,
252,Salazar de la Torre C.,Salazar de la Torre C.,,,,,,,,,,,,
253,Torrico E.,Torrico E.,,,,,,,,,,,,
254,"Sanchez Patzy M.,Quispe Escobar A.",Sanchez Patzy M.,Quispe Escobar A.,,,,,,,,,,,
255,Reyes A.,Reyes A.,,,,,,,,,,,,
256,Cardenas C.,Cardenas C.,,,,,,,,,,,,
257,Saavedra L.,Saavedra L.,,,,,,,,,,,,
258,Gustafson B.,Gustafson B.,,,,,,,,,,,,
259,Blanco C.,Blanco C.,,,,,,,,,,,,
260,Moreno A.,Moreno A.,,,,,,,,,,,,
261,Bolivar H.,Bolivar H.,,,,,,,,,,,,
262,Prado F.,Prado F.,,,,,,,,,,,,
263,Lara A.,Lara A.,,,,,,,,,,,,
264,Steinbach I.,Steinbach I.,,,,,,,,,,,,
265,Yepez del Castillo I.,Yepez del Castillo I.,,,,,,,,,,,,
266,Vallejo G.,Vallejo G.,,,,,,,,,,,,
267,Solares H.,Solares H.,,,,,,,,,,,,
268,Mazurek H.,Mazurek H.,,,,,,,,,,,,
269,Torrez Y.,Torrez Y.,,,,,,,,,,,,
270,"Pereira Morato R.,Montaño Garcia J.",Pereira Morato R.,Montaño Garcia J.,,,,,,,,,,,
271,Villegas H.,Villegas H.,,,,,,,,,,,,
272,Flores Quispe G.,Flores Quispe G.,,,,,,,,,,,,
273,CEPLAG,CEPLAG,,,,,,,,,,,,
274,Barrientos A.,Barrientos A.,,,,,,,,,,,,
275,de Marchi B.,de Marchi B.,,,,,,,,,,,,
276,"Mayorga F.,Moreno D.,Vargas G.",Mayorga F.,Moreno D.,Vargas G.,,,,,,,,,,
277,Arebalo M.,Arebalo M.,,,,,,,,,,,,
278,"Carlo C.,Aguilar C.,Ventura L.,Arauz I.",Carlo C.,Aguilar C.,Ventura L.,Arauz I.,,,,,,,,,
279,"Ayo D.,Fernandez M.,Kudelka A.,Arequipa M.,Moldiz C.",Ayo D.,Fernandez M.,Kudelka A.,Arequipa M.,Moldiz C.,,,,,,,,
280,"Tassi N.,Medeiros C.,Rodriguez-Carmona A.,Ferrifuno G.",Tassi N.,Medeiros C.,Rodriguez-Carmona A.,Ferrifuno G.,,,,,,,,,
281,"Spedding A.,Flores G.,Aguilar N.",Spedding A.,Flores G.,Aguilar N.,,,,,,,,,,
282,"Sandoval D.,Chirino F.,Gutierrez G.",Sandoval D.,Chirino F.,Gutierrez G.,,,,,,,,,,
283,"Severiche S.,Infantas K.,Selaya I.",Severiche S.,Infantas K.,Selaya I.,,,,,,,,,,
284,Quispe Escobar A.,Quispe Escobar A.,,,,,,,,,,,,
285,Torrico E.,Torrico E.,,,,,,,,,,,,
286,"Ventura G.,Torrico C.",Ventura G.,Torrico C.,,,,,,,,,,,
287,Canedo G.,Canedo G.,,,,,,,,,,,,
288,Torrico E.,Torrico E.,,,,,,,,,,,,
289,Ledo C.,Ledo C.,,,,,,,,,,,,
290,Choque M.,Choque M.,,,,,,,,,,,,
291,Bolivar H.,Bolivar H.,,,,,,,,,,,,
292,Fernandez Valverrama L.,Fernandez Valverrama L.,,,,,,,,,,,,
293,Quiroga M.,Quiroga M.,,,,,,,,,,,,
294,Torrez G.,Torrez G.,,,,,,,,,,,,
295,Manzano N.,Manzano N.,,,,,,,,,,,,
296,Cordova Stroobandt K.,Cordova Stroobandt K.,,,,,,,,,,,,
297,Borda Orellana A.,Borda Orellana A.,,,,,,,,,,,,
298,"Zamora E.,Contreras A.",Zamora E.,Contreras A.,,,,,,,,,,,
299,"Urzagasti E.,Tayarapo B.,Justiniano H.",Urzagasti E.,Tayarapo B.,Justiniano H.,,,,,,,,,,
300,"Gonzales G.,Serrano J.",Gonzales G.,Serrano J.,,,,,,,,,,,
301,"Mamani J.,Gutierrez F.,Vaca H.",Mamani J.,Gutierrez F.,Vaca H.,,,,,,,,,,
302,"Marca J.,Baigoria L.,Velarde M.",Marca J.,Baigoria L.,Velarde M.,,,,,,,,,,
303,Prado F.,Prado F.,,,,,,,,,,,,
304,Urzagasti E.,Urzagasti E.,,,,,,,,,,,,
305,"Gonzales F.,Serrano J.",Gonzales F.,Serrano J.,,,,,,,,,,,
306,"Severiche S.,Selaya I.,Infantas K.",Severiche S.,Selaya I.,Infantas K.,,,,,,,,,,
307,Sanabria C.,Sanabria C.,,,,,,,,,,,,
308,Soux M.,Soux M.,,,,,,,,,,,,
309,Moreno Valdivia A.,Moreno Valdivia A.,,,,,,,,,,,,
